,Song,Artist,Genre,Lyrics
0,dear mama,2pac,Hip-Hop,"you are appreciated when i was young me and my mama had beef seventeen years old kicked out on the streets though back at the time, i never thought i'd see her face ain't a woman alive that could take my mama's place suspended from school, and scared to go home, i was a fool with the big boys, breaking all the rules i shed tears with my baby sister over the years we was poorer than the other little kids and even though we had different daddy's, the same drama when things went wrong we'd blame mama i reminisce on the stress i caused, it was hell hugging on my mama from a jail cell and who'd think in elementary? hey! i see the penitentiary, one day and running from the police, that's right mama catch me, put a whooping to my backside and even as a crack fiend, mama you always was a black queen, mama i finally understand for a woman it ain't easy trying to raise a man you always was committed a poor single mother on welfare, tell me how ya did it there's no way i can pay you back but the plan is to show you that i understand you are appreciated lady don't ya know we love ya? sweet lady dear mama place no one above ya, sweet lady you are appreciated don't ya know we love ya? now ain't nobody tell us it was fair no love from my daddy cause the coward wasn't there he passed away and i didn't cry, cause my anger wouldn't let me feel for a stranger they say i'm wrong and i'm heartless, but all along i was looking for a father he was gone i hung around with the thugs, and even though they sold drugs they showed a young brother love i moved out and started really hanging i needed money of my own so i started slanging i ain't guilty cause, even though i sell rocks it feels good putting money in your mailbox i love paying rent when the rent's due i hope ya got the diamond necklace that i sent to you 'cause when i was low you was there for me and never left me alone because you cared for me and i could see you coming home after work late you're in the kitchen trying to fix us a hot plate ya just working with the scraps you was given and mama made miracles every thanksgiving but now the road got rough, you're alone you're trying to raise two bad kids on your own and there's no way i can pay you back but my plan is to show you that i understand you are appreciated lady don't ya know we love ya? sweet lady and dear mama place no one above ya, sweet lady you are appreciated don't ya know we love ya? pour out some liquor and i reminisce, cause through the drama i can always depend on my mama and when it seems that i'm hopeless you say the words that can get me back in focus when i was sick as a little kid to keep me happy there's no limit to the things you did and all my childhood memories are full of all the sweet things you did for me and even though i act crazy i gotta thank the lord that you made me there are no words that can express how i feel you never kept a secret, always stayed real and i appreciate, how you raised me and all the extra love that you gave me i wish i could take the pain away if you can make it through the night there's a brighter day everything will be alright if ya hold on it's a struggle everyday, gotta roll on and there's no way i can pay you back but my plan is to show you that i understand you are appreciated lady don't ya know we love ya? sweet lady and dear mama place no one above ya, sweet lady you are appreciated don't ya know we love ya? sweet lady and dear mama dear mama lady, lady, lady"
1,if-i-die-tonight,bun-b,Hip-Hop,"[chorus: x2 lyfe jennings]
if a nigga die tonight
make sure i didn't die in vain, and they feel my pain
make sure my niggas ride for me
or comin' up on the side of me, side of me
[bun b]
man i'm a real trill nigga (nigga) i been out on them blocks
with them hustlers (hustlers) them dealers (dealers) and killers sellin rocks
put in work in round the clock from when the sun went down
till it came back up and night came back around (around)
i did a lot of shit them late nights for the dough
robbin niggaz on the low (low) laughed at 'em then i go (go)
sometimes it went smooth and nobody got hurt
and sometimes i had to leave a nigga's dick up in the dirt
i ain't proud of what i did and if i could go back in time (time)
i'd try to find another way instead of packin' nines
totin k's and holdin' macs (macs)
but we know time ain't rollin' back
and hungry hyenas, they ain't foldin' jack
so on these cold and black streets, wolves keep huntin'
and a young black man can lose his life over nothin'
if i gotta go, please let it be for somethin' real
cause this bullshit hood shit is gettin' niggas killed on the real
[chorus: x2]
[bun b]
well if a deal goes dirty or the counts don't match (match)
or if i catch a motherfucker dippin' in the back (dippin' in the back)
say if a nigga disrespect me or my fam
and we take it to the streets and let the guns go blam
i don't really give a damn (damn) or really know whatever's gon' come (come)
and i'm a represent where i'm from (represent where i'm from)
man i don't wanna die (die) but i ain't scared to (i ain't scared to)
shit i just wanna make sure that i'm prepared to (i'm prepared to)
can't leave without a couple tickets in the stands
so my wife, and my momma and my children got cans (children got cans)
cause once i'm gone who goin' take care of my kids? (take care of my kids)
and do the same things for 'em that i did
man i'd rather do a bid (bid)
at the least they can see me behind the glass (glass)
instead i'm reminiscin' bout the past (about the past)
nigga don't know what he got, until he passes on
so let him tell 'em that he love 'em 'fore his ass is gone
[chorus: x2]
[young buck]
we trappin' hard right across from the graveyard
i just pray to god i don't have to work a day job
niggas gettin' robbed so i'm ridin' with my a-r
they are, not sendin' tape what i done paid for (no)
walkin' through the bricks on my jena 6 shit
like if you ain't from around here, you was gettin' hit (c'mon)
send a o.g. some flicks, make they time go by quick (hey)
you surprised what some pictures in the penitentiary did (yeah)
we survived but most of us die for some bullshit
go to church but the devil's standin' on the pulpit (damn)
niggas lied just to kick it (what) swear to god they got a meal ticket
then they call you and they bout to get evicted (i know)
a underground king, i've been one ever since i was sixteen (c'mon)
pimp and bun'll tell you just what buck mean (what's up)
a street nigga livin' the street dream, i seen (for sho')
my whole team go to the feds or get a hole in the head
this what i said (yeah)
[chorus: x2]"
2,block-lockdown-ludacris-infamous-20,funkmaster-flex,Hip-Hop,"[funkmaster flex]
yeah dirty south baby - ludacris
shout to shaka zulu, my man shawn taylor
.. it's goin down
[dtp]
yeah, funk flex, volume fo'
disturbin the peace, def jam south
'cris (yeah) you ready?
[ludacris]
oh it's my turn? aiight..
i got permission to put ya mamma in a headlock (what?)
she tried to jook me in a figure-fo' leg lock (ohh)
she said she like the way i stick and make the bed rock
or how i lick and leave her twisted like a dreadlock, and it's on
so stop the sweatin like a wristband
and get some balance like a bike without the kickstand
i think i changed the definition of a hit man
'cause i could really give a fuck about that bitch man, c'mon!
we puttin holes in your residence
and lose anybody for the right president
we thugged out street niggaz with intelligence
so all that bullshit you yappin is irrelevant
oh yeah, i represent the dirty southside
i'm a dentist makin women open they mouth wide
you be in jail still runnin it on the outside
thank not then won't ya open up ya mouth riiiight, but who cares?
[chorus: repeat 2x]
i got my corner on lockdown
about to hold this whole block down
ludacris tell um how the south sound
uuh buddah-laa ah, uh uh uh buddah-laa
uhh buddah-laa ah uh oh uh oh uh oh
[verse 2]
comin to shady park is like a peep show
it's some respectable ladies and there some freak hoes
i know killers that go to church up in they street clothes
you'll end up missin more than shaq when shootin free throws
they packin and bout to open up the dope spot
my neighborhood is stoppin cars like a roadblock
they movin' weight like atlanta was movin boat rock
and catchin ums like seeun muslims eatin pork chops - never happen
and meanwhile i been thinkin man
niggaz been slangin tapes like they slangin 'caine
'cause in the hood its gettin ugly like orangutang
so if you tryin to stop the hustle get the dangalang
okay, we tryin to make our own white house
paint it black and start yellin our fuckin pipes out
you try to tackle some players and you'll get psyched out
they can't fuck with us niggaz you think they dyked out, so don't play
[chorus]
[verse 3]
disturbin the peace, we do that funky shit
hey, what can i say? we got a monkey clique
see dre'll throw on them shades, and make that funky shit
and keep y'all women away if they got funky clit
understand, we got that dough and it get rolled up
you pay the price and still we got the block sold up
aint nothin nice a full house don't make you fold up
you full of heist and try to jet and i'm like -
hold up, god damn - i need to say it on a megaphone
and tell your sister get the fuck up off the telephone
these fools is tickin me off like fifty metronome
i'm takin all of ya money just call me pebbletone!
alright? i got the pistol and the safe key
you betta tell your bitch to follow you to safety
how dare you wanna be heroes and chase me
it's ludacris wont leave no evidence to trace me, you know why?
[chorus]
funky shit oh
do that funky shit oh
do that funky shit oh
do that funky shit oh
do that funky shit uh
do that funky shit uh
do that funky shit"
3,just business,defari,Hip-Hop,"what up kamal? (word up) doing my thing what you think about the def dumb and blind in the 9-6? (word brothers is blind to the fact son.) can't see, can't hear, can't think. a-yo el let me lace this. verse 1: 5 hours a night sleep is what i get no time to sleep i gotta make moves kid so i hustle after work during work or on the road a man can't achive if he don't have goals and that's real that's word to mi abuala i tell ya when i was young she said ""son no time for failures"" so now i keep pressing give thanks for all my blessings i'm my own worst critic cause it's important to keep testing my skills for future development i progress never regress never let stress get the best of me this shit ain't easy being a mc i don't wrap no gifts i represent the hip hop industry i come to evaluateyour mind with the heavy weight rhymes support the black and fight these devils with the sublimes conscious righteousness theres no way you can fight this rhythm your moving your head because you like this now can i get a witness? societys choas no time to floss just business hook: caught up in the choas no time to floss just business business ""definatly handle it"" (x4) verse 2: wheather your a corporate exec or drive an 18 wheeler people in the 90's attitude is gettin' iller i feel the sign of times is no shorts mad heads are hungary and if you floss you'll get caught out there you're scarred apon that ass like tupperwear run all your goods be thankful you're still alive brothers don't jive on the street when it comes to me near a stop light look to your window run your benz you say ""what else can happen to me it's a bad day black? "" walk into your house and enter a hijack skimask in your face run the combination to your safe quickly feel the nine poke your kidney your in the twilight zone of come up where shadey people run up and tell you ""shut the fuck up"" they lock yp on the count that you luck out they snatch your gems plus you lost your benz and your chrome rims you was floss now you just lost in the cycle you become your own worst enemy your suicidal hook verse 3: i knew this girl named shiela, she was a part time yo deala she rocked mad equiped adida sometimes fila sometimes dona kerrin' she always made sure that i knew what she was wearin' shiela had a problem but simply didn't know that the fact of the matter was she was too conversational she gossiped too much talked about this and that even told strangers the source of her cash stacks so one day shiela met this kid named jay said he needed two keys by the end of the day so she arranged it for this strange kid hooked him up with the source sappose the baddest statue of being the boss, ? shiela and jay sit down commence to get down to buz while the one time surrounds boss puts the yay up on the bar shiela sees jay green bag starts thinkin' she's a superstar one time kicks the door in shiela starts runnin' frantic, lead fills her back kid now you tell me what was shiela thinking caught up in this choas with her eyes blinkin' hook (x10)"
4,two gats up,gp wu,Hip-Hop,"forty individuals keep it on the low? keep it on the low, aiiight yo, yo, yo, uh, uh, uh, word up yo with your departure let's start the execution seems like everybody rappin's robbin and shootin talkin real cheap i got a record deal just to get away from the streets niggas stuck up shit's creek with no way to escape when we bombard niggas get stomped hard like wine grapes what the fuck you thought, g.p. connects when majority of these rap cats don't even get a grin never paid dues, actin like they vets on my set til they get a reality check, niggas still wet behind the ears in this rap shit get blown off the face of the earth by the g.p. click whoever wrote the book on hip hop we revised it now adapt to the shaolin chapter the non-fiction, number one bestseller project award winner (two gats up) yeah, it's obvious you the sloppiest got a glass forehead so you're bad when you copy this you could say we live for the winter ain't no shorts taken, veterans, no beginners constant winner, a born sinner make you think your style is thinner you're too pary to carry a microphone across stage knowin that i'm on the other side ready to conquer and divide holdin mine comes natural formin rhymes outta thoughts with smoke and nails a real nigga never tells real niggas know that fake niggas gel get bugged, don't blow, perishable mcs got blinders on leadin themselves into the storm it's the power of god, pg, parental guidance g.p., unmistakably the finest non-commercial, universal, hip hop assassinator track killer, premeditated murder may the force be with you when you go up against this record sellin burglar darth vader hit you up somethin terror and i make you wish you never heard of a gladiator secret spies tryin to steal grain data hit em up with the steel, get the jackulator ill fanatic, leave em con beat and battered they all look at are, another hip hop star brown hornet, i got mcs cornered like a rat i hit a homerun every time up to bat you could read about it, talk about it, ain't no doubt about it i get amped when shows are crowded so come support me hold down the fort i score every time i touch a hip hop court watch me dunk on em, then hit a three on em yo he a punk, i knock him out and then i pee on him verbal gymnastic master tactics niggas styles is softer than a sixty dollar mattress but i refuse to bend, i intend to explore the top ten don't try to analyze or comprehend accept it, g.p. connected niggas run for the bomb but shaolin style's intercepted it have no fear the foundation's here lettin party-goers know that we truly do care it's not all guns and violence, we like to fuck to try to act conservative we love when johnny buck-buck lyrical combat better watch your ass son i shines pretty like a double four magnum the impact from the gat goes boom so when i'm speakin' i appreciate the room my character erupt like a nigga i'm stressed, baby and i'm down on my last trigger one in the chamber, nothin's gonna change the infrared dot to your skull meaning danger duck, boom-pow, it's too late you're caught what, raise up and act like you want it i didn't think so nigga, you're fuckin' with a major even x-men couldn't save ya yup i'm a new bad boy new york stalker crash mc's, they need therapy, then a walker fast talker, do the knowledge i lost ya justice prevailed, fucked around and who crossed ya this is not a test hip hop is in a real state of emergency if this had been a test you would not be bearing witness to the hip hop saviors june luva, pop the brown hornet, rubberbands and down low recka we now advise you to pump this loud as we return to our regularly scheduled programmin'"
5,congratulations,drake,Hip-Hop,"drake: black hearts on my cardigan at the crib tellin' your girl that we should order in and tell g to put his feet up on the ottoman we just up against a bunch of rappers i go harder then damn i'm so catch-trina smarter than a lot of these niggas swear the coach has brought the starter in ya and i'm the type to tell ya daughter things i float high don't try and cut my water wings i'm still myself suicide bars i kill myself charge it to the game i'll bill myself and i dont feel ya'll but i feel myself aunty doe tell em' i deserve a mazeltoff i'm rapping like a sheppard with the muzzle off i'm next to blow ""pause"" and i cant hear the critics talking over the applause ya i try to tell em' future let em' know send the haters all my love x and o i got black box where suggestions go but i dont really give a fuck it's prolly best you know my reality is brighter than dreams are i got ya dream girl ridin' in ya dream car ya and the visual is stunning i hope they document what i'm becoming congratulations. so what you want an award or somethin' i'm at the private airport board or something i see nothing from afar but i'm far from nothin' put on your poker face i'll pull ya card if ya bluffin' but i ain't with the hard talk i gotta monopoly catch me on my boardwalk like i said we'll pull ya card and find out your a hallmark just know i'm breaking world records no false start i dont see ya point unless it's gun point or somethin' my deal like weezy first week one point somethin' and my verse is gettin stupider wayne if your on mars can you pick me up from jupiter phone blowing up so i'm cutting off my cellular i'm a superstar know that on to my nebula i will break a leg break a arm and a fibula when i break it down when i when i break it down i hug and kiss the drum kick i put the beat in my back pocket and just sit but you can never be my ass pause again damage ya'll again ya'll pretend and we are some men that get it on and in i die before i lose cause i was born to win if he don't fuck with ya'll then don't bother him and yes i fuck this game but i won't father them right uh it's like, these days man i'm booked and i'm busy dad named me drake foots named me drizzy they try and tell me i'll never be nothin' but a protege but if you watched the vma's there's nothin' more to say i got the key to happiness and all the copies remember this day like you bought a poppy and damn how i get so nice i done spent it all once bout to get rich twice surprise party bitch now it's on and poppin' i always choose dough like it's my only option cause money always knows best chain snatch flow they say get it off yo chest and i'm what all the fuss about and if they talkin' i bet what they discussion bout hit me at the office same extension consider me the reason ya'll should pay attention wayne: it's crack ay yo drizzy you should of said that on the hook you should of been like ""congratulations it's crack"" ya it's crack haha congratulations ladies and gentlemen!"
6,strunk,die antwoord,Hip-Hop,"ah, love. lovey, love, love, love, love, love, love makes you feel so trippy! like you're stoned and drunk at the same time strunk! 24/7 baba you make me feel like every day is saturday my friend go to sleep, wake up it's saturday again i'm a busy man, i'm goin 'round the world got me fucked up by the baddest pretty little girl and all i really wanna do is get on a plane and come and visit you fly close to the sun jesus what's going on? oh my god i'm so strunk stone drunk. oh fuck help me lord i'm so strunk fucked up. love drunk i'm zoning out in my room all alone staring at the fucking telephone is this for real or are you just playing games? haven't heard from you in three whole days you told me you want me to be your girl look into my eyes and promise me the world tell me is this really true romance or are you just trying to get in my pants? party tonight everybody's goin' on tellin' me we gotta go just close the door switch off the light leave me alone i don't wanna fucking go fuck your pinky promise playboy, cause you steal my heart and then you go just leave me so desperately lonely oh my god i'm so strunk stone drunk. oh fuck help me lord i'm so strunk fucked up. love drunk oh my god i'm so strunk stone drunk. oh fuck help me lord i'm so strunk fucked up. love drunk love lifts you up like an eagle, baby girl you're so cool, you're so nice, you're so natural, you're so sex love fucks you up like an evil angel you so cool, cool as ice but playboy you tell fucking lies oh my god i'm so strunk stone drunk. oh fuck help me lord i'm so strunk fucked up. love drunk oh my god i'm so strunk stone drunk. oh fuck help me lord i'm so strunk fucked up. love drunk"
7,strong in us,bethel music,Hip-Hop,"when darkness rises all around us we will see his glory breaking through the night the king in all his wonder fills us with his power christ in us the answer a hope for all the world our god is strong in us his love has overcome he is alive in us he is the risen one the same power that raised him up is the power that lives in us our god is strong in us our god is strong in us his promise stands throughout the ages he will never leave us we are not alone greater than our weakness he is strong to save us we will stand victorious a hope for all the world lift him up, let the whole world see we will never stop singing lift him up, let the whole world hear we will never stop shouting lift him up, every voice in praise everyone lift him up, lift him up"
8,catch-a-fade,e-40,Hip-Hop,"(kendrick lamar & e-40)
[chorus]:
jumping off the front porch with a new approach
don't approach me.
with the bullshit i remote to a location where the broom sit
here i go, street sweeper
monday to friday, if not go we can catch a fade
catch a fade [x7]
(kendrick lamar)
[verse 1]:
pullin' up hoppin' out
shell, catch 'em poppin' out
and i ain't never been a tom or a jerry
pussy or a rat
pussy on my nutsac
carry plenty kenny tats
give me that, give me plenty feddi
federales on my back, back em in the cemetery
send a scary hit out on your messenger,
i'm ignorant to wrestle a
gorilla in the center of an acura integra
i'm pissed off so i piss off rooftops
drinking through a straw, fuck a rental cop i hired
i'm napalm when the beat slap like eight palms
and i wear eight charms, every airport alarm
go off til they tackle me, what i do wrong?
nigga hit it off the chain, nigga you the fuckin' bomb
bomb on a bitch nigga then his bitch later
put the tips on the bitch, nigga you a fuckin' waiter
i don't even want a favor, i just want a fair one
and it's like that till the sheriffs come
[chorus]
(droop-e)
[verse 2]:
look, problems we solved 'em, bout that action
one less sucka, nigga that's subtraction
his boss is factors on the team
real niggas no actors on the team
not you, who droop? he a good dude
put him in a bad mood, turn you into goon food
i'm in the party feeling like me
s-i-c-k with t.d.e.
your bitch want sex in my ear like wax
and this landy got her ready to get it hit from the back
she shows up chump, salute, give daps
or get your face flat, you don't want that
and get your nose tapped, you don't want that
get your life fucked up all over a batch
get cropped get chopped, on your head like a barber shop
have it out the in the parking lot
[chorus]
(e-40)
[verse 3]:
stay turned, super charged up, stoked
ghetto pass never revoked
mouthpiece faster than a speedboat
keep it one hundred like a c-note, pea coat
popo trying to decode lingo
trapper factor macker, having money like a rapper (rapper)
bumping local talent, pulling up with the blapper (blapper)
[chorus]
[e-40, kendrick lamar & droop-e]:
where you from droop-e? (the west)
where you from kendrick? (the west)
ay 40, where you from though? (the west)
who bring it to they front door? (the west)"
9,brooklyn-to-t-neck,das-efx,Hip-Hop,"intro/chorus: (x4)
""the kids from brooklyn to t-neck"" ""why'knowi'msayin?""
""brooklyn's prime time""
verse one: skoob, dray
now ain't this some old shit, i'm bringin it round the back like no
question
i'm swingin em with the cranes and i'm swayz like the jetsons
i wreck shit, i biggity-blast off, duke, i'm hectic
just look at the funk that i brung from the young and the restless
don't test this, i'm miggity-makin yens in japan
diggity-don't give a fuck 'cause i rap like saran or
antipersperant, i riggity-roll my punctures like a speed stick
i giggity-got the pops so kniggity-knock when you need it
so freak it, i speak it, i giggity-gots ta bring it
we're freakin a track for jersey, yo krazyie spring it
speak of the devil, figgity-fuck the dumb shit, it's over
soldier, i riggity-roll just like a bulldozer
i'm kniggity-knockin butts and smokin blunts that's my slogan
check it, i wriggity-wreck more heads than hulk hogan
no jokin, i be's the, um, best at how i'm speakin
i riggity-rock a show and pack em in like puerto ricans
i'm phat, i biggity-bang heads like jerry cooney
i'm swingin the shit from west, pump her up to the booty
buster, i miggity-musta stunned ya, blunder
you blewa, i speak it, i freak it, i'm super, so do a.....
chorus (x4)
verse two: skoob, dray
biggity-bang boomer, biggity-bust the lunatic rhymer
i riggity-rings more bells than flo from mel's diner
i'm giggity-gettin props because of the rhymes that i be bustin
i'm sorry about, the condoms, sugar, you must provide the suction, 'cause
i got more greenbacks than the land of the west got sea stacks
simplest, i'll call you snaggle if you puss-sy gab, so
look at me flippin the tongue, bringin the fun, pass the hoover
i'm swingity-swingin the funk, bangin her trunks in bermuda
i dribbity-drop rungs, smoke blunts then drop my dipper
i piggity-pass the miggity-microphone to my nigga
hot damn, higgity-here i am, check it mister
i'm rippin the track to dreads or you're dead from my fists of
fury, i biggity-be's the damn judge and jury
i'm cliggity-clockin g's 'cause these chumps always bore me
yo baby, i drippity-drops nuff grammar
i'm rippity-rippin shop wit my nigga boogie banger
i got loot, i got knock boots to argentina
ya stupid, i either want to benz or a beamer
so take that, i'm piggity-puttin your pipe when i'm smokin
why'know kid, i ripped it for fun, no jokin, 'cause ya.....
chorus (x4)
verse three: skoob, dray
well i'll be damned, higgity-here i am, check the slang, hops
i biggity-bump chicks wit them chicks from here to bangkok
you're bedrock, now piggity-pass the blunt, sonny
and let me piggity-pucker up and grab my nuts like al bundy
i glassed em, i grits em, i shiggity-shoots my jizzum
i giigity-gots more loot than your tooth got the wisdom
believe dat, i'm criggity-crackin skulls when i'm rowdy
i biggity-bang boots and hang loose like jim growlski
i miggity-makes em rock like mr.gillespie makes em dizzy
i piggity-pass the mic now, yo krayzie get busy
shit's thick, i'm quick to stick a chick wit my dick like a sniper
type o, fella that's hyper
active, captive, plus i'm attractive
horse for the course, suck my drawers then i'm back, kid
styley, rowdy, then yo i'm audi
5 wit my loot, got more troops than in saudi
arabia, maybe i, marry me an actress
find her, phone her, bone her on the mattress
tasket, tisket, polly want to biscuit
figgity-fuck the cracker, i'm the rapper that rip it, 'cause yo.......
chorus to fade"
